"Latest: Time (s)","Latest: CO2 (ppm)"
0,345
4,343
8,338
12,339
16,340
20,331
24,326
28,326
32,327
36,328
40,331
44,331
48,329
52,328
56,328
60,325
64,328
68,328
72,323
76,323
80,323
84,323
88,323
92,323
96,323
100,323
104,323
108,323
112,323
116,323
120,320
124,321
128,319
132,319
136,319
140,319
144,319
148,319
152,318
156,314
160,317
164,318
168,319
172,319
176,319
180,319
184,319
188,319
192,319
196,322
200,322
204,322
