"Latest: Time (s)","Latest: CO2 (ppm)"
0,383
4,384
8,389
12,388
16,381
20,371
24,365
28,358
32,351
36,360
40,351
44,345
48,339
52,338
56,343
60,339
64,338
68,338
72,336
76,528
80,519
84,480
88,443
92,424
96,410
100,397
104,387
108,378
112,376
116,392
120,392
124,395
128,387
132,380
136,376
140,368
144,363
148,365
152,362
156,356
160,356
164,353
168,349
172,346
176,346
180,345
184,343
188,419
192,427
196,417
200,402
