"Latest: Time (s)","Latest: CO2 (ppm)"
0,370
4,370
8,367
12,366
16,364
20,364
24,362
28,356
32,358
36,354
40,358
44,359
48,356
52,355
56,352
60,352
64,359
68,361
72,360
76,364
80,365
84,366
88,365
92,363
96,360
100,352
104,350
108,347
112,344
116,344
120,345
124,336
128,334
132,332
136,331
140,326
144,331
148,347
152,370
156,369
160,364
164,364
168,362
172,354
176,364
180,358
184,352
188,348
192,345
196,347
200,345
