"Latest: Time (s)","Latest: CO2 (ppm)"
0,457
4,457
8,452
12,450
16,439
20,428
24,420
28,411
32,411
36,413
40,406
44,396
48,385
52,376
56,369
60,366
64,362
68,359
72,354
76,348
80,346
84,357
88,356
92,352
96,350
100,381
104,408
108,423
112,418
116,409
120,393
124,381
128,371
132,365
136,357
140,348
144,344
148,353
152,377
156,392
160,382
164,374
168,367
172,368
176,374
180,374
184,369
188,365
192,362
196,355
200,351
