"Latest: Time (s)","Latest: CO2 (ppm)"
0,423
4,423
8,423
12,422
16,424
20,425
24,425
28,425
32,425
36,421
40,419
44,421
48,420
52,422
56,420
60,422
64,422
68,420
72,419
76,417
80,413
84,423
88,426
92,423
96,422
100,418
104,417
108,410
112,408
116,405
120,405
124,405
128,403
132,400
136,395
140,377
144,359
148,346
152,335
156,329
160,329
164,325
168,324
172,322
176,322
180,322
184,320
188,319
192,319
196,319
200,317
204,319
