"Latest: Time (s)","Latest: CO2 (ppm)"
0,481
4,483
8,501
12,487
16,488
20,489
24,496
28,521
32,512
36,504
40,503
44,492
48,497
52,482
56,465
60,441
64,423
68,408
72,396
76,383
80,368
84,364
88,357
92,351
96,342
100,339
104,335
108,334
112,341
116,346
120,348
124,346
128,344
132,344
136,344
140,344
144,344
148,344
152,344
156,342
160,339
164,335
168,335
172,335
176,330
180,329
184,329
188,327
192,327
196,329
200,344
204,344
