"Latest: Time (s)","Latest: CO2 (ppm)"
0,370
4,370
8,371
12,401
16,439
20,441
24,433
28,426
32,411
36,399
40,392
44,385
48,377
52,372
56,368
60,364
64,360
68,351
72,348
76,348
80,347
84,342
88,340
92,340
96,340
100,337
104,340
108,335
112,333
116,332
120,333
124,333
128,330
132,328
136,326
140,323
144,321
148,320
152,320
156,319
160,319
164,318
168,319
172,323
176,332
180,334
184,332
188,340
192,350
196,352
200,347
